Song Metadata ,Model Rec 1,Song URL,Annotation ,Model Rec 2,Song URL,Annotation ,Model Rec 3,Song URL,Annotation ,Model Rec 4,Song URL,Annotation ,Model Rec 5,Song URL,Annotation ,,% Liked Per Song
MODEL 1: KNN,,,,,,,,,,,,,,,,,
13 - Blinding Lights - The Weekend,The Kid LAROI;Justin Bieber - STAY (with Justin Bieber),https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo,1,Drake;21 Savage - Jimmy Cooks (feat. 21 Savage),https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,1,"Juice WRLD, Marshmello - Come & Go (with Marshmello)",https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,1,Arctic Monkeys - 505,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS,1,Imagine Dragons - Thunder,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,1,,1
16 - I Ain't Worried - OneRepublic,Jason Derulo - Take You Dancing,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3,1,Ariana Grande - positions,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,1,"Juice WRLD, Marshmello - Come & Go (with Marshmello)",https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,1,IVE - After LIKE,https://open.spotify.com/track/2gYj9lubBorOPIVWsTXugG,0,Post Malone - Circles,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,1,,0.8
324 - Wake Me Up - Avicii,Bryan Adams - Summer Of '69,https://open.spotify.com/track/0GONea6G2XdnHWjNZd6zt3,1,WALK THE MOON - Shut Up and Dance,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,1,Nirvana - Smells Like Teen Spirit,https://open.spotify.com/track/5ghIJDpPoe3CfHMGu71E6T,0,Tame Impala - The Less I Know The Better,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,1,The Smiths - There Is a Light That Never Goes Out - 2011 Remaster,https://open.spotify.com/track/0WQiDwKJclirSYG9v5tayI,0,,0.6
2055 - We Are Young (feat. Janelle Mon·e) - fun.;Janelle Mon·e,"fun., Janelle Mon√°e - We Are Young (feat. Janelle Mon√°e)",https://open.spotify.com/track/7a86XRg84qjasly9f6bPSD,1,AC/DC - Back In Black,https://open.spotify.com/track/6AzR1ZhCLhnVd7NAtVSwy4,1,Nickelback - How You Remind Me,https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf,1,Foreigner - Juke Box Hero,https://open.spotify.com/track/00qOE7OjRl0BpYiCiweZB2,1,Rihanna - Rude Boy,https://open.spotify.com/track/60jzFy6Nn4M0iD1d94oteF,1,,1
1384 - White Ferrari - Frank Ocean,Post Malone - Feeling Whitney,https://open.spotify.com/track/35r28RDot7nPE7y9K9H7l0,1,"Jeremy Zucker, Chelsea Cutler - you were good to me",https://open.spotify.com/track/4CxFN5zON70B3VOPBYbd6P,1,Jaymes Young - Happiest Year,https://open.spotify.com/track/219slQu3ALbTSAe9P22hvE,1,"NIKI, 88rising - La La Lost You - Acoustic Version",https://open.spotify.com/track/0e2wfbDK7ppotqyUWD7qs8,1,dodie - She,https://open.spotify.com/track/45h4w81P5iJJTSeR0jJUQ8,1,,1
"29 - Laugh Now Cry Later (feat. Lil Durk) - Drake, Lil Durk",Bad Bunny - Dos Mil 16,https://open.spotify.com/track/4d4ZXH4dr5bYfgErHiZCX2,0,Ariana Grande - 34+35,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,1,Fleetwood Mac - Dreams - 2004 Remaster,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,1,Elton John;Britney Spears - Hold Me Closer,https://open.spotify.com/track/72yP0DUlWPyH8P7IoxskwN,1,Kendrick Lamar - N95,https://open.spotify.com/track/0fX4oNGBWO3dSGUZcVdVV2,1,,0.8
1235 - Man Of The Year - ??Juice WRLD,"K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends - POP/STARS",https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ,0,JVLA - Such a Whore (Stellular Remix),https://open.spotify.com/track/6A25J9As7towpxovYryAWr,0,Juice WRLD - Lean Wit Me,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa,1,Mimi Webb - House On Fire,https://open.spotify.com/track/2iHsdUnmKGIuc9oRE3DfgJ,1,Ariana Grande - obvious,https://open.spotify.com/track/0q85C1JiECyYIQthz1posA,1,,0.6
1433 - Go Flex - Post Malone,Anson Seabra - Peter Pan Was Right,https://open.spotify.com/track/2At18rPHOuTEjGEppwGV0A,1,"Mike Perry, SHY Martin - The Ocean (feat. Shy Martin)",https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,1,Lorde - Royals,https://open.spotify.com/track/4SDWMFvYJKtK1QPhIOeZhd,1,"Julie and the Phantoms Cast, Madison Reyes, Charlie Gillespie - Perfect Harmony (feat. Madison Reyes & Charlie Gillespie)",https://open.spotify.com/track/5yeHtAPGAFsfN9baoglUlc,0,"Trevor Daniel, Selena Gomez - Past Life (with Selena Gomez)",https://open.spotify.com/track/7MN8RYSofZsFROBlEOAzXq,1,,0.8
108 - Gangsta's Paradise - Coolio;L.V.,Drake - God's Plan,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,1,Doja Cat - Streets,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf,1,Arctic Monkeys - Do I Wanna Know?,https://open.spotify.com/track/5FVd6KXrgO9B3JPmC8OPst,1,Conan Gray - Maniac,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4,1,"Lady Gaga, Bradley Cooper - Shallow",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,1,,1
370 -??XO Tour Llif3 - Lil Uzi Vert,Lil Uzi Vert - P2,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,0,"Polo G, Juice WRLD - Flex (feat. Juice WRLD)",https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz,1,"21 Savage, Metro Boomin - Runnin",https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk,1,"King Von - Crazy Story, Pt. 3",https://open.spotify.com/track/23TwR29GSeJBfXnXhmDlwR,1,24kGoldn - VALENTINO,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q,1,,0.8
,,,7,,,9,,,9,,,8,,,9,,
,,,,,,,,,,,,,,,,,
,Songs Liked ,Songs Disliked ,Success percentage ,,,,,,,,,,,,,,
,42,8,0.84,,,,,,,,,,,,,,
MODEL 2: CLUSTERED KNN,,,,,,,,,,,,,,,,,
13 - Blinding Lights - The Weekend,The Kid LAROI;Justin Bieber - STAY (with Justin Bieber) - The Kid LAROI;Justin Bieber - STAY (with Justin Bieber),https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo,1,Drake;21 Savage - Jimmy Cooks (feat. 21 Savage) - Drake;21 Savage - Jimmy Cooks (feat. 21 Savage),https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,1,"Juice WRLD, Marshmello - Come & Go (with Marshmello) ",https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,1,Arctic Monkeys - 505 - Arctic Monkeys - 505,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS,1,Imagine Dragons - Thunder - Imagine Dragons - Thunder,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,1,,1
16 - I Ain't Worried - OneRepublic,Jason Derulo - Take You Dancing - Jason Derulo - Take You Dancing,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3,1,Ariana Grande - positions - Ariana Grande - positions,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,1,"Juice WRLD, Marshmello - Come & Go (with Marshmello) ",https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,1,IVE - After LIKE - IVE - After LIKE,https://open.spotify.com/track/2gYj9lubBorOPIVWsTXugG,0,Post Malone - Circles ,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,1,,0.8
324 - Wake Me Up - Avicii,Bryan Adams - Summer Of '69 - Bryan Adams - Summer Of '69,https://open.spotify.com/track/0GONea6G2XdnHWjNZd6zt3,1,WALK THE MOON - Shut Up and Dance - WALK THE MOON - Shut Up and Dance,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,1,Nirvana - Smells Like Teen Spirit - Nirvana - Smells Like Teen Spirit,https://open.spotify.com/track/5ghIJDpPoe3CfHMGu71E6T,0,Tame Impala - The Less I Know The Better - Tame Impala - The Less I Know The Better,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,1,The Smiths - There Is a Light That Never Goes Out - 2011 Remaster - The Smiths - There Is a Light That Never Goes Out - 2011 Remaster,https://open.spotify.com/track/0WQiDwKJclirSYG9v5tayI,0,,0.6
2055 - We Are Young (feat. Janelle Mon·e) - fun.;Janelle Mon·e,"fun., Janelle Mon√°e - We Are Young (feat. Janelle Mon√°e) - fun., Janelle Mon√°e - We Are Young (feat. Janelle Mon√°e)",https://open.spotify.com/track/7a86XRg84qjasly9f6bPSD,1,AC/DC - Back In Black - AC/DC - Back In Black,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,1,Nickelback - How You Remind Me - Nickelback - How You Remind Me,https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf,1,Foreigner - Juke Box Hero - Foreigner - Juke Box Hero,https://open.spotify.com/track/00qOE7OjRl0BpYiCiweZB2,1,Rihanna - Rude Boy - Rihanna - Rude Boy,https://open.spotify.com/track/60jzFy6Nn4M0iD1d94oteF,1,,1
1384 - White Ferrari - Frank Ocean,Post Malone - Feeling Whitney - Post Malone - Feeling Whitney,https://open.spotify.com/track/35r28RDot7nPE7y9K9H7l0,1,"Jeremy Zucker, Chelsea Cutler - you were good to me - Jeremy Zucker, Chelsea Cutler - you were good to me",https://open.spotify.com/track/4CxFN5zON70B3VOPBYbd6P,1,Jaymes Young - Happiest Year - Jaymes Young - Happiest Year,https://open.spotify.com/track/219slQu3ALbTSAe9P22hvE,1,"NIKI, 88rising - La La Lost You - Acoustic Version - NIKI, 88rising - La La Lost You - Acoustic Version",https://open.spotify.com/track/0e2wfbDK7ppotqyUWD7qs8,1,dodie - She - dodie - She,https://open.spotify.com/track/45h4w81P5iJJTSeR0jJUQ8,1,,1
"29 - Laugh Now Cry Later (feat. Lil Durk) - Drake, Lil Durk",Bad Bunny - Dos Mil 16 - Bad Bunny - Dos Mil 16,https://open.spotify.com/track/4d4ZXH4dr5bYfgErHiZCX2,0,Ariana Grande - 34+35 - Ariana Grande - 34+35,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,1,Fleetwood Mac - Dreams - 2004 Remaster - Fleetwood Mac - Dreams - 2004 Remaster,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,1,Elton John;Britney Spears - Hold Me Closer - Elton John;Britney Spears - Hold Me Closer,https://open.spotify.com/track/72yP0DUlWPyH8P7IoxskwN,1,Kendrick Lamar - N95 - Kendrick Lamar - N95,https://open.spotify.com/track/0fX4oNGBWO3dSGUZcVdVV2,1,,0.8
1235 - Man Of The Year - ??Juice WRLD,"K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends - POP/STARS - K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends - POP/STARS",https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ,0,JVLA - Such a Whore (Stellular Remix) - JVLA - Such a Whore (Stellular Remix),https://open.spotify.com/track/6A25J9As7towpxovYryAWr,0,Juice WRLD - Lean Wit Me - Juice WRLD - Lean Wit Me,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa,1,Mimi Webb - House On Fire - Mimi Webb - House On Fire,https://open.spotify.com/track/2iHsdUnmKGIuc9oRE3DfgJ,1,Ariana Grande - obvious - Ariana Grande - obvious,https://open.spotify.com/track/0q85C1JiECyYIQthz1posA,1,,0.6
1433 - Go Flex - Post Malone,Anson Seabra - Peter Pan Was Right - Anson Seabra - Peter Pan Was Right,https://open.spotify.com/track/2At18rPHOuTEjGEppwGV0A,1,"Mike Perry, SHY Martin - The Ocean (feat. Shy Martin) - Mike Perry, SHY Martin - The Ocean (feat. Shy Martin)",https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,1,Lorde - Royals - Lorde - Royals,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,1,"Julie and the Phantoms Cast, Madison Reyes, Charlie Gillespie - Perfect Harmony (feat. Madison Reyes & Charlie Gillespie Reyes & Charlie Gillespie)",https://open.spotify.com/track/5yeHtAPGAFsfN9baoglUlc,0,"Trevor Daniel, Selena Gomez - Past Life (with Selena Gomez)",https://open.spotify.com/track/7MN8RYSofZsFROBlEOAzXq,1,,0.8
108 - Gangsta's Paradise - Coolio;L.V.,Drake - God's Plan - Drake - God's Plan,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,1,Doja Cat - Streets - Doja Cat - Streets,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf,1,Arctic Monkeys - Do I Wanna Know? - Arctic Monkeys - Do I Wanna Know?,https://open.spotify.com/track/5FVd6KXrgO9B3JPmC8OPst,1,Conan Gray - Maniac - Conan Gray - Maniac,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4,1,"Lady Gaga, Bradley Cooper - Shallow - Lady Gaga, Bradley Cooper - Shallow",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,1,,1
370 -??XO Tour Llif3 - Lil Uzi Vert,Lil Uzi Vert - P2 - Lil Uzi Vert - P2,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,0,"Polo G, Juice WRLD - Flex (feat. Juice WRLD) - Polo G, Juice WRLD - Flex (feat. Juice WRLD)",https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz,1,"21 Savage, Metro Boomin - Runnin - 21 Savage, Metro Boomin - Runnin",https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk,1,"King Von - Crazy Story, Pt. 3 - King Von - Crazy Story, Pt. 3",https://open.spotify.com/track/23TwR29GSeJBfXnXhmDlwR,1,24kGoldn - VALENTINO - 24kGoldn - VALENTINO,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q,1,,0.8
,,,7,,,9,,,9,,,8,,,9,,
,,,,,,,,,,,,,,,,,
,Songs Liked ,Songs Disliked ,Success percentage ,,,,,,,,,,,,,,
,42,8,0.84,,,,,,,,,,,,,,
"MODEL 3: K-MEANS, PCA, KNN",,,,,,,,,,,,,,,,,
13 - Blinding Lights - The Weekend,The Kid LAROI;Justin Bieber - STAY (with Justin Bieber),https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo,1,Drake;21 Savage - Jimmy Cooks (feat. 21 Savage),https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,1,Imagine Dragons - Thunder,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,1,"Juice WRLD, Marshmello - Come & Go (with Marshmello)",https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,1,Arctic Monkeys - 505,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS,1,,
